gene,meta_logFC_FE,meta_FDR_FE,I2,tau2_REML,Q_p,logFC_121248,FDR_121248,logFC_41804,FDR_41804
CAP2,2.2466313370559043,1.0918530265864894e-51,78.14337067675037,0.1636597854409256,0.0324366169456886,2.470035042471039,1.3175048982773894e-22,1.8228329445500009,1.8422498165808427e-5
FCN2,-3.736173915170923,3.7452280809397333e-53,0,0,0.3184642533736739,-3.6364644285714216,3.7687822601221565e-23,-4.290694911649998,3.0268786618949437e-5
CLEC4M,-2.974589616543791,2.093874962981613e-52,54.55966904119753,0.20549346500242652,0.1379491378437831,-2.871704972972968,3.173612914127006e-23,-3.739621866649999,4.1770532915675545e-5
LINC01093,-4.129580382548292,7.692008828420954e-48,0,0,0.741754868193216,-4.178427405405399,1.2581884681061955e-21,-3.961672960449999,4.1770532915675545e-5
ADAMTS13,-1.6847730746485872,1.4243051497752931e-49,83.5140391217436,0.4224714275713125,0.01378268740911163,-1.605364420849419,8.990196726204363e-23,-2.6112160522,4.4470079368884965e-5
FAM65C,-2.6017953850981903,1.8851891252423103e-41,74.7680544672796,0.4577016188447563,0.0465043925321835,-2.4592005212355184,1.668504874945516e-19,-3.5656922759999987,4.1770532915675545e-5
ANGPTL6,-1.6108152137812732,3.357520117803281e-63,0,0,0.3931796869946178,-1.6460458223938204,1.0429441299929536e-26,-1.4319025636500005,8.559084097334515e-5
ADGRG7,-2.2502252850527187,7.762052902163986e-41,0,0,0.8665721564743232,-2.2355727876447853,4.0205952914675607e-19,-2.3009714573999984,4.4470079368884965e-5
ASPM,2.6756255337864574,7.128160140228156e-41,48.93549125964069,0.08226425028711461,0.16169446591975611,2.859644768339764,2.378468343081778e-19,2.279804204949998,4.4470079368884965e-5
CDHR2,-2.518350805375114,1.2115661866875627e-55,56.7001279416182,0.20254378909384615,0.12858742107391277,-2.446512749034746,8.423310748806406e-25,-3.2917574242999983,9.105281384094535e-5
CLEC1B,-3.2270362130272603,3.3645615693579974e-60,66.5915222423614,0.5529192712379752,0.0836120899866194,-3.1358777065637025,3.328382745729654e-26,-4.4245318958499995,9.105281384094535e-5
CXCL14,-4.069946093732553,6.344496221197451e-69,61.00084004243077,0.6957547048066329,0.10931075828184247,-3.978631486486482,3.335307583614462e-28,-5.488973021599998,1.28974610539059e-4
VIPR1,-1.3827140859362992,2.6015175224438287e-59,93.18875933923812,2.7543056402342305,1.272819132827875e-4,-1.340894015444014,1.0828091673383984e-26,-3.7721982061,1.295520346812145e-4
CENPW,1.67702101886609,1.7595079795276772e-35,0,0,0.7858412813926989,1.654780675675673,2.3602974720174555e-16,1.7329356522499992,3.0268786618949437e-5
PLAC8,-2.1198046832313793,9.313879173869514e-37,0,0,0.4855700011166627,-2.0650613745173714,7.049281669253302e-18,-2.3506088761499995,7.039083968662437e-5
CFP,-1.7341147761110187,6.086716109050134e-35,90.2668840924166,1.4578869384838822,0.00134903200579639,-1.6226742007721986,4.44394379625632e-18,-3.4199415916499976,7.967480952091583e-5
CYP1A2,-3.2742242812281317,8.287015871750774e-35,0,0,0.6287007252838523,-3.3531193552123515,7.12610153879198e-17,-3.0802438157999994,5.630568628085611e-5
CRHBP,-3.1193576603129567,7.454763769498987e-45,71.28691454737559,0.7550674345652261,0.06201225735702767,-2.99937168339768,1.2350791589249023e-21,-4.454840679999999,1.379278850284722e-4
HHIP,-2.888171995072247,3.4406134166577325e-55,69.72164911820013,0.6127748053358507,0.06916653794176014,-2.8031616756756725,6.472910482502643e-25,-4.128972690249997,1.626520757699764e-4
PLVAP,1.386223362997542,6.305829322431332e-48,74.64411162345948,0.19284380818937957,0.047042799310614,1.3361523706563692,8.990196726204363e-23,2.054972235649999,1.5482524418598047e-4
TOP2A,3.100232147743051,6.3273177330016124e-43,40.79650559322754,0.08826133606573208,0.19372103830278617,3.261963386100383,7.434794746799531e-21,2.6041711188,1.4998472270734515e-4
STAB2,-1.77538623835042,3.5581420195678315e-45,82.44159180076645,0.6175696804636138,0.01701062658292788,-1.7022150270270249,5.5261242335637075e-22,-2.926224549749999,1.5482524418598047e-4
FAHD2A,-0.9968331617737712,6.492095554233878e-33,0,0,0.7741372360248083,-1.0121562664092651,8.107847106639062e-16,-0.9623258444999988,4.4470079368884965e-5
ECM1,-1.7042186216322388,5.2372896286116225e-53,25.70865846616675,0.02516643839797682,0.24596951998783184,-1.6655482857142834,3.0519866261067683e-24,-2.1080206686999987,1.7559250646272557e-4
ECT2,2.061303394390614,2.1656467854058542e-33,0,0,0.800925705753722,2.0389967142857115,1.3272901328540096e-16,2.138432829149998,9.105281384094535e-5
FCN3,-3.3960941287580053,1.5467762061803145e-41,0,0,0.5865478228035238,-3.341982552123549,2.6042866624636434e-20,-3.7182880471999975,1.72538299138795e-4
LCAT,-2.5554061932377423,1.560230022869222e-40,0,0,0.6411335108031178,-2.5192862702702663,6.011893673153753e-20,-2.761295124249997,1.8535677567015147e-4
NUSAP1,1.8479434079132036,2.6273020683573728e-34,0,0,0.5791257539832706,1.894662818532816,2.4009625564681187e-17,1.7086289155500016,1.5482524418598047e-4
ITGA6,1.3237733098966595,1.572816033633656e-32,0.3990213320752041,1.0894275368840758e-4,0.3163430629001041,1.3943691505791491,1.5759433388020834e-16,1.1606920717000009,1.3812456345231434e-4
KDM8,-1.848872649193497,2.8998271080673118e-43,0,0,0.6425065054040355,-1.8765871158301133,3.321091138961223e-21,-1.7185910462999991,2.83932682213417e-4
RACGAP1,1.8448904187718955,1.6398358355864683e-38,70.12323900700856,0.10848569047582932,0.06732421616214843,2.002401328185324,1.3579720825328212e-19,1.4461510482500008,2.478120310603451e-4
TTC13,0.8860004176308813,2.1811703517772977e-30,0,0,0.5553424866137672,0.917969810810809,7.586520742585114e-15,0.8261627633999993,5.308443507515341e-5
COL15A1,2.891883468736662,8.663448749442322e-37,0,0,0.517525719061996,2.968063583011577,1.1365509603388573e-18,2.6263544906,2.42046762723518e-4
GJC1,1.5933634470535214,8.199873809816504e-30,59.65504602752978,0.0883009534771168,0.1154031227358573,1.4917029034749016,7.84374465778838e-15,2.035797110299999,5.4542963386062094e-5
PRC1,2.0476370671869195,2.74178255593991e-32,0,0,0.6857599567173419,2.085868675675672,1.3713127474427746e-16,1.9292687474999992,1.990004886854032e-4
CDKN3,1.9603604987467311,4.4406078816304895e-32,0,0,0.7120207311006642,1.9937913976833956,1.680856634792445e-16,1.8564094103999984,1.990004886854032e-4
UBE2Q1,0.8669871336912651,1.4375615903591907e-30,0,0,0.3897482724993532,0.9077371930501906,8.599016202397627e-16,0.7719624504000008,1.626520757699764e-4
BDH2,-1.4508169510743647,1.2882173353947613e-29,0,0,0.8453448958475176,-1.436568193050191,6.171009624629071e-15,-1.4912737298499994,9.105281384094535e-5
PITPNM3,-1.477513644360029,2.3750731016272792e-36,73.7947019397726,0.2568216345812678,0.05076461986216735,-1.4143363899613883,6.104528501020161e-19,-2.248628639849999,3.388479956088831e-4
BUB1B,1.9994878512527632,1.744186510559852e-29,0,0,0.6504003725817218,2.0495023204633185,4.5976628443728376e-15,1.880727691999999,1.2473872615436344e-4
DBH,-1.0622575445833602,1.7373294824285446e-37,85.67109427576813,0.43516665113317465,0.00824762878684201,-1.0158432162162154,1.1931561608527992e-19,-2.0237622432999984,3.5635611311982e-4
ANLN,2.495265714570168,1.2463632513711242e-31,0,0,0.9708093684002544,2.4991897722007685,2.0379535380608247e-16,2.480968225349999,2.458988597496936e-4
PTTG1,1.648671912634988,1.2380781064004356e-28,49.226988627184376,0.06405790888883582,0.16049560271379565,1.5522272509652488,1.5499548541349406e-14,2.062379425099999,7.967480952091583e-5
OIT3,-2.8364922627369737,3.878968847206756e-47,90.47569987375375,0.835915212597964,0.001194094922703,-3.2295224362934327,2.5876758926587002e-23,-1.8701760510999987,4.658494637358312e-4
BMPER,-1.328919939550636,1.3340466168252212e-37,91.03381343329268,2.184733848184738,8.389527818459251e-4,-1.2769034517374496,4.294251568820981e-20,-3.4677547362499994,4.113824024294508e-4
HGFAC,-2.8375213031166613,4.072532557333457e-30,0,0,0.9352323246644804,-2.8272469073359043,9.7040980464318e-16,-2.874125275949997,2.42046762723518e-4
EPHA2,-1.4416331365961834,7.530708631840932e-30,0,0,0.5738277828712908,-1.4087457374517356,1.1820313714827745e-15,-1.5843115049999998,2.4534530344309184e-4
CENPF,1.8577313812866785,7.377667304920144e-28,80.52027691095644,0.4026470124629708,0.02346777398888955,1.6956086833976804,5.39357251493287e-14,2.6956653481499995,4.4470079368884965e-5
