module	gene	rank	module_size	meta_logFC_FE	meta_FDR_FE	I2	tau2_REML
ProlifHub	CAP2	1	20	2.2466313370559043	1.0918530265864894e-51	78.14337067675037	0.1636597854409256
ProlifHub	ASPM	2	20	2.6756255337864574	7.128160140228156e-41	48.93549125964069	0.08226425028711461
ProlifHub	CENPW	3	20	1.67702101886609	1.7595079795276772e-35	0	0
ProlifHub	PLVAP	4	20	1.386223362997542	6.305829322431332e-48	74.64411162345948	0.19284380818937957
ProlifHub	TOP2A	5	20	3.100232147743051	6.3273177330016124e-43	40.79650559322754	0.08826133606573208
ProlifHub	ECT2	6	20	2.061303394390614	2.1656467854058542e-33	0	0
ProlifHub	NUSAP1	7	20	1.8479434079132036	2.6273020683573728e-34	0	0
ProlifHub	ITGA6	8	20	1.3237733098966595	1.572816033633656e-32	0.3990213320752041	1.0894275368840758e-4
ProlifHub	RACGAP1	9	20	1.8448904187718955	1.6398358355864683e-38	70.12323900700856	0.10848569047582932
ProlifHub	TTC13	10	20	0.8860004176308813	2.1811703517772977e-30	0	0
ProlifHub	COL15A1	11	20	2.891883468736662	8.663448749442322e-37	0	0
ProlifHub	GJC1	12	20	1.5933634470535214	8.199873809816504e-30	59.65504602752978	0.0883009534771168
ProlifHub	PRC1	13	20	2.0476370671869195	2.74178255593991e-32	0	0
ProlifHub	CDKN3	14	20	1.9603604987467311	4.4406078816304895e-32	0	0
ProlifHub	UBE2Q1	15	20	0.8669871336912651	1.4375615903591907e-30	0	0
ProlifHub	BUB1B	16	20	1.9994878512527632	1.744186510559852e-29	0	0
ProlifHub	ANLN	17	20	2.495265714570168	1.2463632513711242e-31	0	0
ProlifHub	PTTG1	18	20	1.648671912634988	1.2380781064004356e-28	49.226988627184376	0.06405790888883582
ProlifHub	CENPF	19	20	1.8577313812866785	7.377667304920144e-28	80.52027691095644	0.4026470124629708
ProlifHub	IRAK1	20	20	1.0321485050155037	2.4474380487434934e-29	76.50764628390893	0.05432389336001622
HepLoss	FCN2	1	20	-3.736173915170923	3.7452280809397333e-53	0	0
HepLoss	CLEC4M	2	20	-2.974589616543791	2.093874962981613e-52	54.55966904119753	0.20549346500242652
HepLoss	LINC01093	3	20	-4.129580382548292	7.692008828420954e-48	0	0
HepLoss	ADAMTS13	4	20	-1.6847730746485872	1.4243051497752931e-49	83.5140391217436	0.4224714275713125
HepLoss	FAM65C	5	20	-2.6017953850981903	1.8851891252423103e-41	74.7680544672796	0.4577016188447563
HepLoss	ANGPTL6	6	20	-1.6108152137812732	3.357520117803281e-63	0	0
HepLoss	ADGRG7	7	20	-2.2502252850527187	7.762052902163986e-41	0	0
HepLoss	CDHR2	8	20	-2.518350805375114	1.2115661866875627e-55	56.7001279416182	0.20254378909384615
HepLoss	CLEC1B	9	20	-3.2270362130272603	3.3645615693579974e-60	66.5915222423614	0.5529192712379752
HepLoss	CXCL14	10	20	-4.069946093732553	6.344496221197451e-69	61.00084004243077	0.6957547048066329
HepLoss	VIPR1	11	20	-1.3827140859362992	2.6015175224438287e-59	93.18875933923812	2.7543056402342305
HepLoss	PLAC8	12	20	-2.1198046832313793	9.313879173869514e-37	0	0
HepLoss	CFP	13	20	-1.7341147761110187	6.086716109050134e-35	90.2668840924166	1.4578869384838822
HepLoss	CYP1A2	14	20	-3.2742242812281317	8.287015871750774e-35	0	0
HepLoss	CRHBP	15	20	-3.1193576603129567	7.454763769498987e-45	71.28691454737559	0.7550674345652261
HepLoss	HHIP	16	20	-2.888171995072247	3.4406134166577325e-55	69.72164911820013	0.6127748053358507
HepLoss	STAB2	17	20	-1.77538623835042	3.5581420195678315e-45	82.44159180076645	0.6175696804636138
HepLoss	FAHD2A	18	20	-0.9968331617737712	6.492095554233878e-33	0	0
HepLoss	ECM1	19	20	-1.7042186216322388	5.2372896286116225e-53	25.70865846616675	0.02516643839797682
HepLoss	FCN3	20	20	-3.3960941287580053	1.5467762061803145e-41	0	0
