sample_id	ProlifHubScore	HepLossScore	HCCStateScore	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	tissue:ch1	tissue	accession	role	etiology
GSM616704	-0.5062656085394563	-0.2895265037632769	-0.21673910477617947	healthy sample 1	GSM616704	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616704/suppl/GSM616704.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616705	-0.7757543229976375	0.544037643223315	-1.3197919662209525	healthy sample 2	GSM616705	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616705/suppl/GSM616705.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616706	-0.7666497421839503	0.27473022497232086	-1.0413799671562711	healthy sample 3	GSM616706	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616706/suppl/GSM616706.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616707	-0.5083738266575731	0.329285581502107	-0.8376594081596802	healthy sample 4	GSM616707	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616707/suppl/GSM616707.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616708	-0.7039680852677996	0.5972709986452527	-1.3012390839130523	healthy sample 5	GSM616708	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616708/suppl/GSM616708.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616709	-0.7205625474242334	0.5530459202096633	-1.2736084676338968	healthy sample 6	GSM616709	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616709/suppl/GSM616709.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616710	-0.4552071579224181	0.1234448630328836	-0.5786520209553017	cirrhotic sample 1	GSM616710	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616710/suppl/GSM616710.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616711	-0.6835903810155098	0.37661510094888173	-1.0602054819643916	cirrhotic sample 2	GSM616711	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616711/suppl/GSM616711.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616712	-0.45802334357277835	0.6994396022367378	-1.1574629458095163	cirrhotic sample 3	GSM616712	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616712/suppl/GSM616712.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616713	-0.6892423109063064	0.8434895652295386	-1.5327318761358448	cirrhotic sample 4	GSM616713	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616713/suppl/GSM616713.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616714	-0.47439382287713255	0.25914139228896266	-0.7335352151660952	cirrhotic sample 5	GSM616714	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616714/suppl/GSM616714.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
