gene	logFC	AveExpr	t	p_value	FDR	B	dataset
A1BG	-2.1200573474499977	10.344690337325	-4.393954762370317	7.835957551209092e-5	0.002749283622765345	1.4522756008388749	GSE41804
A1BG-AS1	-0.05359001345000032	7.250226426175	-0.1792037042966074	0.8586721613962855	0.934604926306495	-6.313206703523827	GSE41804
A1CF	-0.40061655400000135	12.297015446	-2.8613945370156033	0.006646285299166887	0.04869540050952418	-2.6392233887691634	GSE41804
A2M	-0.7341757029999978	14.6259286015	-3.328798288484857	0.0018669060023322047	0.02135944552431631	-1.487452426546997	GSE41804
A2M-AS1	-1.7208888152999997	11.51769409905	-4.483870675050416	5.919829736916164e-5	0.0022852259273763473	1.7147571056003326	GSE41804
A2ML1	-1.0820105067499997	3.811775058675	-2.4929235859749346	0.016858000919144227	0.08956512513187832	-3.4661143888711434	GSE41804
A2MP1	-1.5610598086499983	8.908683148875	-4.330047452643499	9.555188080210582e-5	0.0030956238232984195	1.2667674570075746	GSE41804
A4GALT	-0.2582683618999994	5.31913393865	-0.8322205223882556	0.4101697412168809	0.6388724720761579	-5.988350300589834	GSE41804
A4GNT	-1.489230378299999	3.47222980415	-2.7579365194689824	0.00868968276236034	0.058485974359413516	-2.8792199912955065	GSE41804
AA06	-0.3981658816999997	4.5361326699	-0.902057432650474	0.3723651820464625	0.6052350267940941	-5.929362863699238	GSE41804
AAAS	0.24430926114999993	9.087658405425	1.7370460970367156	0.08998749222269636	0.25903935252694194	-4.886262704824213	GSE41804
AACS	0.14299530830000098	7.30850076955	0.633959892149477	0.5296750145758713	0.7341204582394985	-6.1306569777232225	GSE41804
AACSP1	0.3127082901500002	4.725317333175	0.8734130474172889	0.3875924575832478	0.6181757262122142	-5.954110101147791	GSE41804
AADAC	-0.6644670292999989	12.670112199350001	-2.3255981477677268	0.025135254366255116	0.11583666201045169	-3.8145131264414323	GSE41804
AADACL2	-0.7775738361499994	3.317579290875	-1.5874969826710388	0.12018532181981939	0.3108583075128201	-5.116760154531601	GSE41804
AADACP1	-1.1828126517499995	9.185534679975	-2.389412269263462	0.021622541529035578	0.10502863519858766	-3.6837597870243894	GSE41804
AADAT	-1.5317814431999994	9.9048836463	-4.901391824114505	1.582212649637824e-5	9.750105316592518e-4	2.9528351201974896	GSE41804
AAED1	0.3925984361499998	7.655152467775	2.224762616733904	0.031736698059556416	0.13446988564268228	-4.015626639299448	GSE41804
AAGAB	0.6211961799499999	9.364769534375	3.1148370420369402	0.00337655129032722	0.03126813788801592	-2.0276716615527066	GSE41804
