gene	beta_injury_index	AveExpr	t	p_value	FDR	B	logFC	P.Value	adj.P.Val
PTAFR	0.3856811353494398	6.7152165625	9.601920404053441	7.563986613909574e-17	1.4191112722856992e-12	27.709802276874264	0.3856811353494398	7.563986613909574e-17	1.4191112722856992e-12
UBD	1.4037476021492745	9.0074484375	9.506031660428365	1.3047499400410972e-16	1.4191112722856992e-12	27.183062010773597	1.4037476021492745	1.3047499400410972e-16	1.4191112722856992e-12
NUB1	0.22940901213275366	7.9834903125	9.342012132515807	3.3084752851403375e-16	2.3989754292552587e-12	26.28403401315626	0.22940901213275366	3.3084752851403375e-16	2.3989754292552587e-12
PNMA2	0.6180135273347825	4.8432403125	9.26620288173353	5.081402395178298e-16	2.7633936575578383e-12	25.86941935815115	0.6180135273347825	5.081402395178298e-16	2.7633936575578383e-12
LPXN	0.3499737940434696	7.070282421875	9.159896162729668	9.264664321591144e-16	4.030684859751443e-12	25.289061755683914	0.3499737940434696	9.264664321591144e-16	4.030684859751443e-12
RTN1	0.4575780127067034	4.965639453125	8.88784316333813	4.281340033462524e-15	1.552199829131838e-11	23.810034477608067	0.4575780127067034	4.281340033462524e-15	1.552199829131838e-11
CDC25B	0.3366802706455246	7.07872953125	8.71481798871734	1.127313362401647e-14	3.503206796046147e-11	22.874551645419764	0.3366802706455246	1.127313362401647e-14	3.503206796046147e-11
HCP5	0.5629081842640566	6.398333046875	8.651258026798809	1.6069640424318044e-14	3.9287868694103684e-11	22.532019044422206	0.5629081842640566	1.6069640424318044e-14	3.9287868694103684e-11
LOC101928589	0.3665225492856615	5.7737760937500004	8.649202018072936	1.6254807072446703e-14	3.9287868694103684e-11	22.520949376126357	0.3665225492856615	1.6254807072446703e-14	3.9287868694103684e-11
FGD2	0.326009773089327	8.95555890625	8.574898880403502	2.4581082235575776e-14	4.5563322884552516e-11	22.12134629666122	0.326009773089327	2.4581082235575776e-14	4.5563322884552516e-11
MAML2	0.4584943466869839	5.7168228125	8.568278045050496	2.5502753639209263e-14	4.5563322884552516e-11	22.085782417301758	0.4584943466869839	2.5502753639209263e-14	4.5563322884552516e-11
CXCL10	1.1888970006821398	8.525300703125	8.55968070762039	2.675104321757442e-14	4.5563322884552516e-11	22.03961241404005	1.1888970006821398	2.675104321757442e-14	4.5563322884552516e-11
KLHL6	0.541252132573511	4.92321328125	8.556490841078539	2.7229494667364626e-14	4.5563322884552516e-11	22.022485054576173	0.541252132573511	2.7229494667364626e-14	4.5563322884552516e-11
EGR2	0.5714540055214541	3.883610703125	8.53873469929051	3.0052539182150816e-14	4.669520605923762e-11	21.927177550575077	0.5714540055214541	3.0052539182150816e-14	4.669520605923762e-11
BARD1	0.4696854197678189	4.648298203125	8.500310733904218	3.7197218747625774e-14	5.122889938667983e-11	21.721113269080814	0.4696854197678189	3.7197218747625774e-14	5.122889938667983e-11
BTG2	0.47092115785841915	6.4262380468750004	8.497984086731439	3.768042983436203e-14	5.122889938667983e-11	21.70864362765175	0.47092115785841915	3.768042983436203e-14	5.122889938667983e-11
MTHFD2	0.7029944665491732	5.6312560156250004	8.485587684971813	4.036217518327795e-14	5.164696451540266e-11	21.64222069949668	0.7029944665491732	4.036217518327795e-14	5.164696451540266e-11
SAMD9L	0.5427704221763673	6.55973375	8.434875729095117	5.345665355774586e-14	6.460236582453587e-11	21.37076780086949	0.5427704221763673	5.345665355774586e-14	6.460236582453587e-11
STAT1	0.5230500555074845	10.21773328125	8.411437762435684	6.086024360712163e-14	6.967857258872194e-11	21.245459145784668	0.5230500555074845	6.086024360712163e-14	6.967857258872194e-11
CDCP1	0.3015872192864938	4.88347875	8.34801940047831	8.640549334771276e-14	8.789166882123857e-11	20.90688898203627	0.3015872192864938	8.640549334771276e-14	8.789166882123857e-11
HPSE	0.6148798347676014	5.7839471875	8.343989043385056	8.83494152066521e-14	8.789166882123857e-11	20.885396725089453	0.6148798347676014	8.83494152066521e-14	8.789166882123857e-11
MAB21L2	0.6191130627344938	5.064664921875	8.335754283894667	9.245737068968103e-14	8.789166882123857e-11	20.8414933197936	0.6191130627344938	9.245737068968103e-14	8.789166882123857e-11
DOCK11	0.4955381407736725	6.19493453125	8.334830093644827	9.293009621148748e-14	8.789166882123857e-11	20.83656679807032	0.4955381407736725	9.293009621148748e-14	8.789166882123857e-11
CDCA7	0.4590872436452449	4.25951875	8.322001159770151	9.974570078027315e-14	8.879418101383456e-11	20.768196622888087	0.4590872436452449	9.974570078027315e-14	8.879418101383456e-11
JUN	0.5180619537589206	7.8987646875	8.314028794776561	1.0422912012797337e-13	8.879418101383456e-11	20.725724195110853	0.5180619537589206	1.0422912012797337e-13	8.879418101383456e-11
TLR7	0.393438751488419	4.107841640625	8.308590106244514	1.0740203346727776e-13	8.879418101383456e-11	20.69675656713842	0.393438751488419	1.0740203346727776e-13	8.879418101383456e-11
C5AR1	0.4537268771695724	5.34852421875	8.303905157340056	1.1021205752648064e-13	8.879418101383456e-11	20.671807919982733	0.4537268771695724	1.1021205752648064e-13	8.879418101383456e-11
MX2	0.49697846109255794	6.32622234375	8.285490658553128	1.219830103079489e-13	9.476772940102901e-11	20.57378527685435	0.49697846109255794	1.219830103079489e-13	9.476772940102901e-11
