sample_id	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	treatment_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	tissue:ch1	tissue	accession	role	etiology
GSM3083512	NL001	GSM3083512	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL001	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083512/suppl/GSM3083512_NL001.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083513	NL002	GSM3083513	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL002	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083513/suppl/GSM3083513_NL002.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083514	NL003	GSM3083514	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL003	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083514/suppl/GSM3083514_NL003.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083515	NL004	GSM3083515	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL004	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083515/suppl/GSM3083515_NL004.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083516	NL005	GSM3083516	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL005	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083516/suppl/GSM3083516_NL005.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083517	NL006	GSM3083517	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL006	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083517/suppl/GSM3083517_NL006.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083518	NL007	GSM3083518	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL007	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083518/suppl/GSM3083518_NL007.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083519	NL008	GSM3083519	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL008	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083519/suppl/GSM3083519_NL008.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083520	NL009	GSM3083520	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL009	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083520/suppl/GSM3083520_NL009.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
GSM3083521	NL010	GSM3083521	Public on Jan 03 2019	Apr 06 2018	Jan 03 2019	RNA	1	Human normal liver #NL010	Homo sapiens	tissue: Normal liver	Tissue samples were stored in RNAlater (Thermo Fisher Scientific) at -80°C immediately after dissected.	total RNA	Total RNA was extracted from tissue specimens by using RNeasy Protect Mini Kit (QIAGEN). Contaminating DNA was removed by digestion with RNase-Free DNase Set (QIAGEN). The RNA Integrity Number (RIN) of all the samples was confirmed to be greated than 7.0 by using 2100 Bioanalyzer (Agilent Technologies).	biotin	Amplified RNA was prepared by using 3' IVT Express Kit (Affymetrix).	9606	Hybridization and signal detection of HG-U133 Plus 2.0 arrays (Affymetrix) were performed following the manufacturer's instruction by using the Affymetrix Fluidics Station 450.	GeneChips were scanned with Affymetrix GeneChip Scanner 3000.	The microarray data of 152 tumorous and 91 adjacent liver tissues from HCC patients as well as 14 normal liver were normalized by robust multichip analysis (RMA) using affy package in R/Bioconductor.	GPL570	Kaoru,,Mogushi	mogushi-k@umin.ac.jp	+81-3-5803-5184	Department of Molecular Oncology	Tokyo Medical and Dental University	1-5-45 Yushima	Bunkyo-ku	Tokyo	113-8519	Japan	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3083nnn/GSM3083521/suppl/GSM3083521_NL010.CEL.gz	54613	Normal liver	non_tumor	GSE112790	added_external_validation_tumor_heavy	mixed
