sample_id	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	tissue:ch1	tissue	accession	role	etiology
GSM616704	healthy sample 1	GSM616704	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616704/suppl/GSM616704.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616705	healthy sample 2	GSM616705	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616705/suppl/GSM616705.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616706	healthy sample 3	GSM616706	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616706/suppl/GSM616706.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616707	healthy sample 4	GSM616707	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616707/suppl/GSM616707.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616708	healthy sample 5	GSM616708	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616708/suppl/GSM616708.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616709	healthy sample 6	GSM616709	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	healthy	Homo sapiens	tissue: healthy liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616709/suppl/GSM616709.CEL.gz	37582	healthy liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616710	cirrhotic sample 1	GSM616710	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616710/suppl/GSM616710.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616711	cirrhotic sample 2	GSM616711	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616711/suppl/GSM616711.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616712	cirrhotic sample 3	GSM616712	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616712/suppl/GSM616712.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
GSM616713	cirrhotic sample 4	GSM616713	Public on Jul 05 2011	Nov 03 2010	Jul 05 2011	RNA	1	cirrhotic	Homo sapiens	tissue: cirrhotic liver	total RNA	Samples are processed in parallel in 96-well plates to minimize potential variation.  Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.	Biotin	The final in vitro transcription incorporates biotin moieties that are later labeled with phycoerythrin.  After amplification, samples are put through a controlled fragmentation to improve hybridization sensitivity and consistency.  The labeled molecules are biotinylated-cRNA.	9606	GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques.  Arrays are hybridized for 18 hours at 45C with vigorous mixing.   Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed.  Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.	Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.	Data were loaded into the Rosetta Resolver system (Rosetta Biosoftware, Seattle, WA) and processed using the RMA algorithm (http://www.ncbi.nlm.nih.gov/sites/entrez?cmd=Retrieve&db=PubMed&list_uids=12582260).  Intensities were calculated based on RMA, a Rosetta-developed error, and a MAS-5 p-value.  The Rosetta-developed error is used in the calculation of xdev for the ratio p-values as described in section 2.2 (http://bioinformatics.oxfordjournals.org/cgi/content/full/22/9/1111).	GPL10687	Chunsheng,,Zhang	chunsheng_zhang@merck.com	Merck	33 Avenue Louis Pasteur	Boston	02115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616713/suppl/GSM616713.CEL.gz	37582	cirrhotic liver	non_tumor	GSE25097	added_external_validation	mixed
