gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
A1BG	-1.1271244749034737	-4.200750410227178	5.5121714188275105e-5	2.170249137986513e-4	-2.1200573474499977	-4.393954762370317	7.835957551209092e-5	0.002749283622765345
A1BG-AS1	-0.10426182625482618	-2.950932021260714	0.0038902159321221657	0.009174313440096863	-0.05359001345000032	-0.1792037042966074	0.8586721613962855	0.934604926306495
A1CF	-0.41980439768339717	-2.497251282053995	0.01403355845960769	0.028070988245686993	-0.40061655400000135	-2.8613945370156033	0.006646285299166887	0.04869540050952418
A2M	-0.8176656756756742	-5.668632141195294	1.2233305708148161e-7	9.59996749889419e-7	-0.7341757029999978	-3.328798288484857	0.0018669060023322047	0.02135944552431631
A2M-AS1	-0.9224809073359069	-7.93652365845363	2.1449430495874256e-12	6.742622277120704e-11	-1.7208888152999997	-4.483870675050416	5.919829736916164e-5	0.0022852259273763473
A2ML1	-0.05819225096525088	-1.5645092595432615	0.12063962813654151	0.1781342540628691	-1.0820105067499997	-2.4929235859749346	0.016858000919144227	0.08956512513187832
A2MP1	-0.1681647722007722	-3.2246643979004084	0.001671151444510719	0.004391466220396433	-1.5610598086499983	-4.330047452643499	9.555188080210582e-5	0.0030956238232984195
A4GALT	-0.15859383397683358	-3.9813236813698674	1.2490666817776758e-4	4.4615677387043975e-4	-0.2582683618999994	-0.8322205223882556	0.4101697412168809	0.6388724720761579
A4GNT	-0.009811239382239377	-0.20956982434708288	0.8344004173999114	0.8731341292909502	-1.489230378299999	-2.7579365194689824	0.00868968276236034	0.058485974359413516
AA06	-0.060135629343629406	-1.5970668118055837	0.11318880689215184	0.16863201947297987	-0.3981658816999997	-0.902057432650474	0.3723651820464625	0.6052350267940941
AAAS	0.08613478764478723	2.521736611143919	0.013145163342240251	0.026530593633675284	0.24430926114999993	1.7370460970367156	0.08998749222269636	0.25903935252694194
AACS	0.6203796795366789	4.776221927626076	5.684791586262667e-6	2.9057403641450762e-5	0.14299530830000098	0.633959892149477	0.5296750145758713	0.7341204582394985
AACSP1	0.06427408880308881	0.7978418827539093	0.4267226495121481	0.5120813038471759	0.3127082901500002	0.8734130474172889	0.3875924575832478	0.6181757262122142
AADAC	-0.21491106949806912	-0.9481379826284048	0.3451875803198149	0.43003639165551416	-0.6644670292999989	-2.3255981477677268	0.025135254366255116	0.11583666201045169
AADACL2	-0.08363723166023174	-2.4865606434695344	0.014438021901658294	0.028787377674314652	-0.7775738361499994	-1.5874969826710388	0.12018532181981939	0.3108583075128201
AADACP1	-0.5292171583011581	-2.5059571516721197	0.013711709036477409	0.02752083471770558	-1.1828126517499995	-2.389412269263462	0.021622541529035578	0.10502863519858766
AADAT	-1.7034188030888002	-9.709976408591116	2.23843430961953e-16	2.6641796685209296e-14	-1.5317814431999994	-4.901391824114505	1.582212649637824e-5	9.750105316592518e-4
AAED1	0.3604459459459456	3.432750046815955	8.496100368282859e-4	0.0024430359723893857	0.3925984361499998	2.224762616733904	0.031736698059556416	0.13446988564268228
AAGAB	0.2683715598455596	4.220762780028707	5.108846457684533e-5	2.030563438589652e-4	0.6211961799499999	3.1148370420369402	0.00337655129032722	0.03126813788801592
AAK1	0.07383444787644733	0.948572053272559	0.3449676957387572	0.4298855571382439	0.49928154499999977	3.326900187446498	0.0018768925110683903	0.021425898525506176
AAMDC	0.15968642857142845	1.8365289115226069	0.06904492135893324	0.11094210181126272	-0.3568602789999989	-2.0151554788247155	0.0505654121250387	0.1800093486423514
