dataset	gene_set	logFC	t	p_value	FDR
GSE121248	HALLMARK_ADIPOGENESIS	-0.11771725617677568	-2.660865941150184	0.00891703053396259	0.01438230731284289
GSE121248	HALLMARK_ALLOGRAFT_REJECTION	-0.1808984345204375	-2.958854529936364	0.0037551226296219	0.00670557612432483
GSE121248	HALLMARK_ANDROGEN_RESPONSE	-0.07879722220656607	-1.8274197509393184	0.0702496114852887	0.10330825218424808
GSE121248	HALLMARK_ANGIOGENESIS	0.01467408080044405	0.2274610626292407	0.8204722577314648	0.8372165895219029
GSE121248	HALLMARK_APICAL_JUNCTION	0.05637104404025151	1.5171827018547133	0.13198595390304332	0.18855136271863332
GSE121248	HALLMARK_APICAL_SURFACE	-0.16938320782079802	-4.862431317075384	3.7380475615511102e-6	9.836967267239766e-6
GSE121248	HALLMARK_APOPTOSIS	-0.06943720442536316	-1.4633294299922803	0.1461262291831706	0.20295309608773693
GSE121248	HALLMARK_BILE_ACID_METABOLISM	-0.28762075928283215	-5.273876072227157	6.413376761162295e-7	2.137792253720765e-6
GSE121248	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.02373798212615318	-0.46266350765637176	0.6444865823219786	0.6856240237467858
GSE121248	HALLMARK_COAGULATION	-0.2758742624476668	-5.872267460794216	4.315257595568158e-8	1.961480725258254e-7
GSE121248	HALLMARK_COMPLEMENT	-0.13629241920352303	-2.860219836536418	0.00503567569924241	0.00868219948145243
GSE121248	HALLMARK_DNA_REPAIR	0.4313177642438432	9.19161608183749	2.1024285225951792e-15	3.504047537658632e-14
GSE121248	HALLMARK_E2F_TARGETS	0.6337492445467892	10.4878226541	1.988067367318064e-18	9.940336836590319e-17
GSE121248	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.07174142085355326	-1.137303758104219	0.25779368839628264	0.31438254682473493
GSE121248	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.142313851788009	-4.2315370027057275	4.711339711381161e-5	1.1217475503288478e-4
GSE121248	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.10437918841410318	-3.605399137737299	4.6350510731113466e-4	9.270102146222692e-4
GSE121248	HALLMARK_FATTY_ACID_METABOLISM	-0.24183947652316695	-4.924037110672463	2.8859599737591236e-6	8.016555482664231e-6
GSE121248	HALLMARK_G2M_CHECKPOINT	0.5588796657650801	9.624575673064614	2.068703352472424e-16	5.17175838118106e-15
GSE121248	HALLMARK_GLYCOLYSIS	0.12310002403913375	3.433047834652494	8.324357902920262e-4	0.00154154775980004
GSE121248	HALLMARK_HEDGEHOG_SIGNALING	-0.08043279326824544	-1.9493744885662665	0.05370441578133143	0.08137032694141126
GSE121248	HALLMARK_HEME_METABOLISM	-0.03925397387893643	-1.2925840625190017	0.1987660045630685	0.26193151986063035
GSE121248	HALLMARK_HYPOXIA	-0.15058953859364912	-3.828874558251412	2.107741098937959e-4	4.582045867256433e-4
GSE121248	HALLMARK_IL2_STAT5_SIGNALING	-0.15409708461912985	-3.5235812921393013	6.135333518450981e-4	0.00117987183047134
GSE121248	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2082175067808925	-3.763994943807278	2.6583004918889996e-4	5.538126024768749e-4
GSE121248	HALLMARK_INFLAMMATORY_RESPONSE	-0.2946487835730991	-5.567674403522712	1.7368247258113805e-7	6.202945449326358e-7
GSE121248	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.05730193618698582	0.744112255448291	0.45833803641659576	0.5208386777461316
GSE121248	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.08146246939881077	-1.2055923002800728	0.2304685665003295	0.2880857081254119
GSE121248	HALLMARK_KRAS_SIGNALING_DN	-0.19100354008775336	-5.153479286632484	1.0832486180776632e-6	3.1860253472872448e-6
GSE121248	HALLMARK_KRAS_SIGNALING_UP	-0.17416000159873257	-4.018801862852115	1.0525006142950354e-4	2.392046850670535e-4
GSE121248	HALLMARK_MITOTIC_SPINDLE	0.3651364144345528	7.504200421138709	1.4660607369273778e-11	1.0471862406624128e-10
GSE121248	HALLMARK_MTORC1_SIGNALING	0.2374730923958559	4.730396578994839	6.465852915888944e-6	1.616463228972236e-5
GSE121248	HALLMARK_MYC_TARGETS_V1	0.5690261888861936	9.004076092495744	5.717239017415432e-15	7.14654877176929e-14
GSE121248	HALLMARK_MYC_TARGETS_V2	0.3982617536426084	6.367993904813303	4.153462116024174e-9	2.304247007000833e-8
GSE121248	HALLMARK_MYOGENESIS	-0.18837494937263707	-5.807932680148801	5.8086248660148946e-8	2.420260360839539e-7
GSE121248	HALLMARK_NOTCH_SIGNALING	0.13322124272734898	2.5952197911675747	0.01069424768055543	0.01670976200086787
GSE121248	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.02863194896881644	0.4895640502577074	0.625382173663199	0.6797632322426076
GSE121248	HALLMARK_P53_PATHWAY	-0.04706567084748812	-1.216342374450632	0.2263644157415688	0.2880857081254119
GSE121248	HALLMARK_PANCREAS_BETA_CELLS	-0.05102069405156454	-1.2917090126703006	0.19906795509407904	0.26193151986063035
GSE121248	HALLMARK_PEROXISOME	-0.00587915739519622	-0.12654760981751523	0.8995211642091452	0.8995211642091452
GSE121248	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.22315070347767055	5.581316427949638	1.633130896377357e-7	6.202945449326358e-7
GSE121248	HALLMARK_PROTEIN_SECRETION	0.33834842154555816	6.346353413734077	4.608494014001666e-9	2.304247007000833e-8
GSE121248	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.04771453524353764	0.9578543153068256	0.34016113527908853	0.4049537324751054
GSE121248	HALLMARK_SPERMATOGENESIS	0.0720831465042841	2.701325829388933	0.00795941503182679	0.01326569171971132
GSE121248	HALLMARK_TGF_BETA_SIGNALING	0.01511103527140264	0.24700509080183528	0.8053481010909118	0.8372165895219029
GSE121248	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.31840413519127575	-5.216892911544404	8.226036162022884e-7	2.5706363006321512e-6
GSE121248	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.3582882702745366	7.304664573762321	4.046468321062942e-11	2.5290427006643384e-10
GSE121248	HALLMARK_UV_RESPONSE_DN	-0.04672788654594792	-0.9357669939597356	0.35136920075842326	0.4085688380911899
GSE121248	HALLMARK_UV_RESPONSE_UP	0.02167368469107636	0.5866755368484421	0.5585804263003058	0.620644918111451
GSE121248	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.3658213694356035	8.299077947566468	2.3816980244418893e-13	2.381698024441889e-12
GSE121248	HALLMARK_XENOBIOTIC_METABOLISM	-0.3593077781697318	-7.634289101617243	7.528734344803989e-12	6.273945287336659e-11
GSE41804	HALLMARK_ADIPOGENESIS	-0.21494188231896855	-3.106515482703343	0.00322080239773466	0.02013001498584164
GSE41804	HALLMARK_ALLOGRAFT_REJECTION	-0.09107544994403102	-1.0429544798627766	0.3023540386177233	0.3779425482721541
GSE41804	HALLMARK_ANDROGEN_RESPONSE	-0.12512172130093355	-1.84537310869398	0.07134755048961314	0.1285035798275506
GSE41804	HALLMARK_ANGIOGENESIS	0.04341795857484716	0.4652783748732834	0.6439008557907275	0.7154453953230306
GSE41804	HALLMARK_APICAL_JUNCTION	-0.029533243227502	-0.5301229966981681	0.5985456326232821	0.6959832937480025
GSE41804	HALLMARK_APICAL_SURFACE	-0.04673674453180991	-0.7957857086699918	0.4301948316585201	0.5121367043553811
GSE41804	HALLMARK_APOPTOSIS	-0.08889770615813276	-1.3937096019671844	0.17002173717285154	0.2297591042876372
GSE41804	HALLMARK_BILE_ACID_METABOLISM	-0.3143926706795961	-3.9083944304800617	2.995495942595358e-4	0.00213963995899668
GSE41804	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.16673251741374404	-2.5016912586372237	0.01593453780025119	0.06128668384711998
GSE41804	HALLMARK_COAGULATION	-0.31998796365715343	-4.665336785765018	2.622834563748354e-5	2.6228345637483537e-4
GSE41804	HALLMARK_COMPLEMENT	-0.145147211728963	-2.161051111561612	0.03586802726592978	0.0951247757911368
GSE41804	HALLMARK_DNA_REPAIR	0.15921944751513048	2.0426282078438738	0.04677393373625526	0.09626696555963364
GSE41804	HALLMARK_E2F_TARGETS	0.4434502322228948	4.7253961865589185	2.149255239402069e-5	2.6228345637483537e-4
GSE41804	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.02395922683984154	0.25726384457082924	0.7981085636710772	0.8654227643186189
GSE41804	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.11141318130487492	-2.125380820966591	0.03889009743005701	0.0951247757911368
GSE41804	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.13225831480095004	-2.8832795963681086	0.00593936370388721	0.02969681851943606
GSE41804	HALLMARK_FATTY_ACID_METABOLISM	-0.3302355200155338	-4.270906144465638	9.508334928136914e-5	7.923612440114095e-4
GSE41804	HALLMARK_G2M_CHECKPOINT	0.4083348429733282	4.777962164480962	1.80443856907364e-5	2.6228345637483537e-4
GSE41804	HALLMARK_GLYCOLYSIS	-0.01018154702753658	-0.1794818722026275	0.8583380933775905	0.8941021806016568
GSE41804	HALLMARK_HEDGEHOG_SIGNALING	-0.05444865760956847	-0.8106734344558689	0.4216773596881848	0.5121367043553811
GSE41804	HALLMARK_HEME_METABOLISM	-0.09931402817549372	-2.12004343505972	0.03936099742055436	0.0951247757911368
GSE41804	HALLMARK_HYPOXIA	-0.13346675271873595	-2.0296056636672426	0.04813348277981683	0.09626696555963364
GSE41804	HALLMARK_IL2_STAT5_SIGNALING	-0.12931878050408444	-1.9815150628358176	0.05345518877852389	0.1027984399586998
GSE41804	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.18974985472539777	-2.434549706623737	0.01879951680785936	0.06714113145664058
GSE41804	HALLMARK_INFLAMMATORY_RESPONSE	-0.1582213625164158	-2.106304389075485	0.04059620507113748	0.0951247757911368
GSE41804	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.18355918159757603	-1.6122359201053924	0.1136687264376644	0.17742489343827994
GSE41804	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.19501589726468868	-2.092675399537626	0.04185490134810019	0.0951247757911368
GSE41804	HALLMARK_KRAS_SIGNALING_DN	-0.10019636863089317	-2.116743393000955	0.03965464300448163	0.0951247757911368
GSE41804	HALLMARK_KRAS_SIGNALING_UP	-0.10330647110558	-1.580994349577513	0.12064892753803036	0.17742489343827994
GSE41804	HALLMARK_MITOTIC_SPINDLE	0.2725184637362622	5.2603370868230845	3.5473837208339204e-6	8.868459302084801e-5
GSE41804	HALLMARK_MTORC1_SIGNALING	0.12091135481971146	1.5870356956751954	0.11927275059332525	0.17742489343827994
GSE41804	HALLMARK_MYC_TARGETS_V1	0.26511266511898846	2.577859017088302	0.01316836957927037	0.05486820658029322
GSE41804	HALLMARK_MYC_TARGETS_V2	0.13865402126611573	1.66752253348613	0.1021231815207273	0.16471480890439885
GSE41804	HALLMARK_MYOGENESIS	-0.1192833300463556	-2.044017096776627	0.04663092173903314	0.09626696555963364
GSE41804	HALLMARK_NOTCH_SIGNALING	0.00625011319654954	0.09190697446328076	0.9271662132737478	0.9271662132737478
