sample_id	tissue	dataset	score	value
GSM3428716	tumor	GSE121248	ProlifHubScore	0.46599784340367145
GSM3428716	tumor	GSE121248	HepLossScore	-0.40873657953296905
GSM3428716	tumor	GSE121248	HCCStateScore	0.8747344229366405
GSM3428717	tumor	GSE121248	ProlifHubScore	0.8070397031323397
GSM3428717	tumor	GSE121248	HepLossScore	-0.36405072945830513
GSM3428717	tumor	GSE121248	HCCStateScore	1.1710904325906448
GSM3428718	tumor	GSE121248	ProlifHubScore	0.6163719641993876
GSM3428718	tumor	GSE121248	HepLossScore	-0.6836191987427062
GSM3428718	tumor	GSE121248	HCCStateScore	1.2999911629420937
GSM3428719	tumor	GSE121248	ProlifHubScore	0.9869653298332035
GSM3428719	tumor	GSE121248	HepLossScore	-0.8312738579644742
GSM3428719	tumor	GSE121248	HCCStateScore	1.8182391877976776
GSM3428720	tumor	GSE121248	ProlifHubScore	0.6248321650174156
GSM3428720	tumor	GSE121248	HepLossScore	-0.6963628582492467
GSM3428720	tumor	GSE121248	HCCStateScore	1.3211950232666623
GSM3428721	tumor	GSE121248	ProlifHubScore	0.17538304873493832
GSM3428721	tumor	GSE121248	HepLossScore	-0.3275418396660341
GSM3428721	tumor	GSE121248	HCCStateScore	0.5029248884009725
GSM3428722	tumor	GSE121248	ProlifHubScore	0.8913774640005016
GSM3428722	tumor	GSE121248	HepLossScore	-0.3430680084415971
GSM3428722	tumor	GSE121248	HCCStateScore	1.2344454724420988
GSM3428723	tumor	GSE121248	ProlifHubScore	0.9664712616525252
GSM3428723	tumor	GSE121248	HepLossScore	-0.767529229321321
GSM3428723	tumor	GSE121248	HCCStateScore	1.734000490973846
GSM3428724	tumor	GSE121248	ProlifHubScore	-0.10118094649491113
GSM3428724	tumor	GSE121248	HepLossScore	-0.2821693248093109
GSM3428724	tumor	GSE121248	HCCStateScore	0.18098837831439976
GSM3428725	tumor	GSE121248	ProlifHubScore	0.4425675370113755
GSM3428725	tumor	GSE121248	HepLossScore	-0.7753943933220697
GSM3428725	tumor	GSE121248	HCCStateScore	1.2179619303334452
GSM3428726	tumor	GSE121248	ProlifHubScore	0.13267704416732756
GSM3428726	tumor	GSE121248	HepLossScore	-0.5554493429724875
GSM3428726	tumor	GSE121248	HCCStateScore	0.6881263871398151
GSM3428727	tumor	GSE121248	ProlifHubScore	0.5601299657240794
GSM3428727	tumor	GSE121248	HepLossScore	-0.793894289587217
GSM3428727	tumor	GSE121248	HCCStateScore	1.3540242553112964
GSM3428728	tumor	GSE121248	ProlifHubScore	0.6948528970330116
GSM3428728	tumor	GSE121248	HepLossScore	-1.0687629116960746
GSM3428728	tumor	GSE121248	HCCStateScore	1.763615808729086
GSM3428729	tumor	GSE121248	ProlifHubScore	0.504979944264877
GSM3428729	tumor	GSE121248	HepLossScore	-0.9103764665063094
GSM3428729	tumor	GSE121248	HCCStateScore	1.4153564107711865
GSM3428730	tumor	GSE121248	ProlifHubScore	-1.1677943538602902
GSM3428730	tumor	GSE121248	HepLossScore	1.1428121663540283
GSM3428730	tumor	GSE121248	HCCStateScore	-2.3106065202143187
GSM3428731	tumor	GSE121248	ProlifHubScore	0.2343297480841213
GSM3428731	tumor	GSE121248	HepLossScore	-0.16745172762661545
GSM3428731	tumor	GSE121248	HCCStateScore	0.40178147571073675
GSM3428732	tumor	GSE121248	ProlifHubScore	0.9515771500791667
GSM3428732	tumor	GSE121248	HepLossScore	-0.9253658614602238
GSM3428732	tumor	GSE121248	HCCStateScore	1.8769430115393906
GSM3428733	tumor	GSE121248	ProlifHubScore	0.09557504586487658
GSM3428733	tumor	GSE121248	HepLossScore	0.47152198138923945
GSM3428733	tumor	GSE121248	HCCStateScore	-0.37594693552436287
GSM3428734	tumor	GSE121248	ProlifHubScore	0.5570515024133064
GSM3428734	tumor	GSE121248	HepLossScore	-1.1505984529289064
GSM3428734	tumor	GSE121248	HCCStateScore	1.7076499553422129
GSM3428735	tumor	GSE121248	ProlifHubScore	0.1893627867564079
GSM3428735	tumor	GSE121248	HepLossScore	-0.8198995463027087
GSM3428735	tumor	GSE121248	HCCStateScore	1.0092623330591166
GSM3428736	tumor	GSE121248	ProlifHubScore	1.031934396817343
GSM3428736	tumor	GSE121248	HepLossScore	-0.9156567040813524
GSM3428736	tumor	GSE121248	HCCStateScore	1.9475911008986952
GSM3428737	tumor	GSE121248	ProlifHubScore	-0.1685515496127386
GSM3428737	tumor	GSE121248	HepLossScore	-0.7325551140643014
GSM3428737	tumor	GSE121248	HCCStateScore	0.5640035644515629
GSM3428738	tumor	GSE121248	ProlifHubScore	1.6299359179743274
GSM3428738	tumor	GSE121248	HepLossScore	-0.8904546312543594
GSM3428738	tumor	GSE121248	HCCStateScore	2.520390549228687
GSM3428739	tumor	GSE121248	ProlifHubScore	0.5695153925496416
GSM3428739	tumor	GSE121248	HepLossScore	-0.5826595140454703
GSM3428739	tumor	GSE121248	HCCStateScore	1.152174906595112
GSM3428740	tumor	GSE121248	ProlifHubScore	0.7439856692204101
GSM3428740	tumor	GSE121248	HepLossScore	-1.1483073643714372
GSM3428740	tumor	GSE121248	HCCStateScore	1.8922930335918473
GSM3428741	tumor	GSE121248	ProlifHubScore	-0.18121782525981092
GSM3428741	tumor	GSE121248	HepLossScore	0.6775982802101854
GSM3428741	tumor	GSE121248	HCCStateScore	-0.8588161054699963
GSM3428742	tumor	GSE121248	ProlifHubScore	0.4860466026777664
GSM3428742	tumor	GSE121248	HepLossScore	-0.24530975870464797
GSM3428742	tumor	GSE121248	HCCStateScore	0.7313563613824143
GSM3428743	tumor	GSE121248	ProlifHubScore	0.13504527207020708
GSM3428743	tumor	GSE121248	HepLossScore	-1.0529627789565377
GSM3428743	tumor	GSE121248	HCCStateScore	1.1880080510267448
GSM3428744	tumor	GSE121248	ProlifHubScore	0.7013838947815011
GSM3428744	tumor	GSE121248	HepLossScore	-0.17064074276832922
GSM3428744	tumor	GSE121248	HCCStateScore	0.8720246375498303
GSM3428745	tumor	GSE121248	ProlifHubScore	0.7358078445440677
GSM3428745	tumor	GSE121248	HepLossScore	-1.1699050628229646
GSM3428745	tumor	GSE121248	HCCStateScore	1.9057129073670322
GSM3428746	tumor	GSE121248	ProlifHubScore	0.532093179401103
GSM3428746	tumor	GSE121248	HepLossScore	-0.8914881069539784
GSM3428746	tumor	GSE121248	HCCStateScore	1.4235812863550814
GSM3428747	tumor	GSE121248	ProlifHubScore	0.7775348615673849
GSM3428747	tumor	GSE121248	HepLossScore	-0.8172606794593742
GSM3428747	tumor	GSE121248	HCCStateScore	1.5947955410267591
GSM3428748	tumor	GSE121248	ProlifHubScore	0.27214366986782973
GSM3428748	tumor	GSE121248	HepLossScore	-0.3567176652217696
GSM3428748	tumor	GSE121248	HCCStateScore	0.6288613350895993
GSM3428749	tumor	GSE121248	ProlifHubScore	-0.053816704121464005
GSM3428749	tumor	GSE121248	HepLossScore	-0.7308209624000029
GSM3428749	tumor	GSE121248	HCCStateScore	0.6770042582785389
GSM3428750	tumor	GSE121248	ProlifHubScore	0.26782254012438533
GSM3428750	tumor	GSE121248	HepLossScore	-0.581071934604955
GSM3428750	tumor	GSE121248	HCCStateScore	0.8488944747293403
GSM3428751	tumor	GSE121248	ProlifHubScore	0.3071483917814922
GSM3428751	tumor	GSE121248	HepLossScore	-0.8434223797236388
GSM3428751	tumor	GSE121248	HCCStateScore	1.150570771505131
GSM3428752	tumor	GSE121248	ProlifHubScore	0.984351958638298
GSM3428752	tumor	GSE121248	HepLossScore	-0.7906752753154602
GSM3428752	tumor	GSE121248	HCCStateScore	1.7750272339537583
GSM3428753	tumor	GSE121248	ProlifHubScore	0.42495396575809713
GSM3428753	tumor	GSE121248	HepLossScore	-0.6256855274325638
GSM3428753	tumor	GSE121248	HCCStateScore	1.0506394931906609
GSM3428754	tumor	GSE121248	ProlifHubScore	0.5771342188837464
GSM3428754	tumor	GSE121248	HepLossScore	-0.7928978880434449
GSM3428754	tumor	GSE121248	HCCStateScore	1.3700321069271912
GSM3428755	tumor	GSE121248	ProlifHubScore	-0.5977611286991332
GSM3428755	tumor	GSE121248	HepLossScore	-0.22590717512121203
GSM3428755	tumor	GSE121248	HCCStateScore	-0.37185395357792117
GSM3428756	tumor	GSE121248	ProlifHubScore	0.729147769758242
GSM3428756	tumor	GSE121248	HepLossScore	-0.9309817957203687
GSM3428756	tumor	GSE121248	HCCStateScore	1.6601295654786106
GSM3428757	tumor	GSE121248	ProlifHubScore	1.042925826946649
GSM3428757	tumor	GSE121248	HepLossScore	-0.5710190284252178
GSM3428757	tumor	GSE121248	HCCStateScore	1.6139448553718667
GSM3428758	tumor	GSE121248	ProlifHubScore	0.46324869278392994
GSM3428758	tumor	GSE121248	HepLossScore	-0.7704176422542617
GSM3428758	tumor	GSE121248	HCCStateScore	1.2336663350381916
GSM3428759	tumor	GSE121248	ProlifHubScore	0.1463864361856036
GSM3428759	tumor	GSE121248	HepLossScore	-0.8358034827778646
GSM3428759	tumor	GSE121248	HCCStateScore	0.9821899189634682
GSM3428760	tumor	GSE121248	ProlifHubScore	0.23831293639711593
GSM3428760	tumor	GSE121248	HepLossScore	-0.6397762744740093
GSM3428760	tumor	GSE121248	HCCStateScore	0.8780892108711252
GSM3428761	tumor	GSE121248	ProlifHubScore	0.8990941931814036
GSM3428761	tumor	GSE121248	HepLossScore	-0.5573531996101737
GSM3428761	tumor	GSE121248	HCCStateScore	1.4564473927915773
GSM3428762	tumor	GSE121248	ProlifHubScore	0.9405318402771385
GSM3428762	tumor	GSE121248	HepLossScore	-0.8287335806546743
GSM3428762	tumor	GSE121248	HCCStateScore	1.7692654209318128
GSM3428763	tumor	GSE121248	ProlifHubScore	0.7700761694306419
GSM3428763	tumor	GSE121248	HepLossScore	0.5152307536682622
GSM3428763	tumor	GSE121248	HCCStateScore	0.25484541576237973
GSM3428764	tumor	GSE121248	ProlifHubScore	-0.6608165762195156
GSM3428764	tumor	GSE121248	HepLossScore	1.0780751032367453
GSM3428764	tumor	GSE121248	HCCStateScore	-1.7388916794562608
GSM3428765	tumor	GSE121248	ProlifHubScore	1.2247002754219636
GSM3428765	tumor	GSE121248	HepLossScore	-0.7640776876353165
GSM3428765	tumor	GSE121248	HCCStateScore	1.98877796305728
GSM3428766	tumor	GSE121248	ProlifHubScore	0.47127253019248166
GSM3428766	tumor	GSE121248	HepLossScore	-0.7125251855535223
GSM3428766	tumor	GSE121248	HCCStateScore	1.183797715746004
GSM3428767	tumor	GSE121248	ProlifHubScore	1.3637118315092462
GSM3428767	tumor	GSE121248	HepLossScore	-0.7990619141674509
GSM3428767	tumor	GSE121248	HCCStateScore	2.162773745676697
GSM3428768	tumor	GSE121248	ProlifHubScore	1.0035808710254746
GSM3428768	tumor	GSE121248	HepLossScore	-0.8868600846345497
GSM3428768	tumor	GSE121248	HCCStateScore	1.8904409556600243
GSM3428769	tumor	GSE121248	ProlifHubScore	0.4925610127787747
GSM3428769	tumor	GSE121248	HepLossScore	-0.6651475874056801
GSM3428769	tumor	GSE121248	HCCStateScore	1.1577086001844548
GSM3428770	tumor	GSE121248	ProlifHubScore	0.7995064641674332
GSM3428770	tumor	GSE121248	HepLossScore	-0.4098039672315543
GSM3428770	tumor	GSE121248	HCCStateScore	1.2093104313989875
GSM3428771	tumor	GSE121248	ProlifHubScore	0.40650912055861654
GSM3428771	tumor	GSE121248	HepLossScore	-0.5654027119245835
GSM3428771	tumor	GSE121248	HCCStateScore	0.9719118324832
GSM3428772	tumor	GSE121248	ProlifHubScore	0.6208353019357232
GSM3428772	tumor	GSE121248	HepLossScore	-0.8462065909986487
GSM3428772	tumor	GSE121248	HCCStateScore	1.4670418929343718
GSM3428773	tumor	GSE121248	ProlifHubScore	0.8561804191232201
GSM3428773	tumor	GSE121248	HepLossScore	-0.6152919865583464
GSM3428773	tumor	GSE121248	HCCStateScore	1.4714724056815665
GSM3428774	tumor	GSE121248	ProlifHubScore	0.7349369069181031
GSM3428774	tumor	GSE121248	HepLossScore	-0.7399661793587196
GSM3428774	tumor	GSE121248	HCCStateScore	1.4749030862768227
GSM3428775	tumor	GSE121248	ProlifHubScore	0.44078401421377844
GSM3428775	tumor	GSE121248	HepLossScore	-0.6856293577266428
GSM3428775	tumor	GSE121248	HCCStateScore	1.1264133719404212
GSM3428776	tumor	GSE121248	ProlifHubScore	1.1292719781077085
GSM3428776	tumor	GSE121248	HepLossScore	-0.7703585589165927
GSM3428776	tumor	GSE121248	HCCStateScore	1.8996305370243012
GSM3428777	tumor	GSE121248	ProlifHubScore	0.1911186560250743
GSM3428777	tumor	GSE121248	HepLossScore	-0.5248626157042895
GSM3428777	tumor	GSE121248	HCCStateScore	0.7159812717293638
GSM3428778	tumor	GSE121248	ProlifHubScore	0.9351421352464014
GSM3428778	tumor	GSE121248	HepLossScore	-0.8241635590169083
GSM3428778	tumor	GSE121248	HCCStateScore	1.7593056942633098
GSM3428779	tumor	GSE121248	ProlifHubScore	0.7734423561269173
GSM3428779	tumor	GSE121248	HepLossScore	-0.6478546638769888
