analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	model	term	estimate	std.error	statistic	p.value	conf.low	conf.high
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	unadjusted	(Intercept)	-0.08748838619459029	0.08540327541623781	-1.0244148806727855	0.30799367883260254	-0.2568273051220317	0.08185053273285114
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	unadjusted	tissuetumor	0.13373224746887358	0.10558868860853605	1.2665395245572009	0.2081224229108942	-0.07563061704412088	0.34309511198186804
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_adjusted	(Intercept)	-0.08650929554342393	0.1019170464959206	-0.8488206685511301	0.39794953666997634	-0.2886377195999925	0.11561912851314465
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_adjusted	tissuetumor	0.17057690439846673	0.13648958554417354	1.2497430021374134	0.21422571067767712	-0.10011799674628213	0.4412718055432156
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_adjusted	E2F	-2.808830144955068	0.5971424883848507	-4.703785444161549	7.96109019115884e-6	-3.9931214314895427	-1.624538858420593
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_adjusted	G2M	3.119185456693084	0.6225719371624023	5.010160706744838	2.263813236646376e-6	1.884460856176738	4.35391005720943
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	(Intercept)	-0.15298898604235014	0.09083355227580979	-1.6842783554012033	0.09521592867015743	-0.33317831980046275	0.027200347715762463
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	tissuetumor	0.26866071518038914	0.12207150737785376	2.200847035899957	0.030024419708343554	0.026503681417416658	0.5108177489433616
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	E2F	-1.9710369132589716	0.5473896492819055	-3.6007931751078623	4.938202143154642e-4	-3.056910731236483	-0.8851630952814598
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	G2M	2.3708451626548244	0.5631420700736484	4.210030272369391	5.549417677147243e-5	1.2537227791811298	3.4879675461285187
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC1	0.12267475846162817	0.023931687905653705	5.126038704217226	1.4283654600466523e-6	0.07520072721012522	0.17014878971313113
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC2	0.07112525361291074	0.024699242057397035	2.879653288454244	0.0048609766268727286	0.022128601394147233	0.12012190583167423
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	(Intercept)	-1.2170987458315825	0.35402185367418887	-3.437919815401269	8.717185271341611e-4	-1.9199209861011424	-0.5142765055620225
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	tissuetumor	0.2383107124329143	0.11465659677360543	2.0784736259307386	0.040361746197682076	0.010688588629588908	0.4659328362362397
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	E2F	-1.7751170021191687	0.44842545290923713	-3.9585554089376336	1.4552949433413622e-4	-2.665354082504639	-0.8848799217336983
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	G2M	2.3033249819698622	0.46903180277186285	4.910807685870717	3.7661481948812594e-6	1.3721791248410287	3.234470839098696
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	T.cells.CD4.memory.resting	-0.23800087142578397	0.6091533705611728	-0.3907076328027693	0.6968881476478259	-1.4473232116211086	0.9713214687695406
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Macrophages.M2	2.2538764592843976	0.5013839127572842	4.495310682964574	1.9606476625155974e-5	1.2585035433414862	3.249249375227309
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Plasma.cells	3.665144557771497	0.7294916841829434	5.024244466716011	2.368266012034746e-6	2.216920459698393	5.113368655844601
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Macrophages.M0	3.6586692908252787	0.6314384651284561	5.7941818449102245	8.891506054367324e-8	2.40510544427704	4.9122331373735175
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	T.cells.CD8	-0.4231912563687134	0.81524144344455	-0.5190992923282334	0.6048987250904645	-2.0416501500662765	1.1952676373288498
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Macrophages.M1	3.2252275814317124	0.8981856850308106	3.5908249654647713	5.240437759474491e-4	1.4421035488900227	5.008351613973402
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	T.cells.follicular.helper	-2.68738128646484	1.044254904154997	-2.5734916597202364	0.01161450491273787	-4.760489382854086	-0.6142731900755947
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Mast.cells.activated	1.0595401555053259	1.0450049422379752	1.0139092292101721	0.3132014357773709	-1.015056954740819	3.1341372657514706
