module	gene	rank	module_size
ProlifHub	CAP2	1	50
ProlifHub	ASPM	2	50
ProlifHub	CENPW	3	50
ProlifHub	PLVAP	4	50
ProlifHub	TOP2A	5	50
ProlifHub	ECT2	6	50
ProlifHub	NUSAP1	7	50
ProlifHub	ITGA6	8	50
ProlifHub	RACGAP1	9	50
ProlifHub	TTC13	10	50
ProlifHub	COL15A1	11	50
ProlifHub	GJC1	12	50
ProlifHub	PRC1	13	50
ProlifHub	CDKN3	14	50
ProlifHub	UBE2Q1	15	50
ProlifHub	BUB1B	16	50
ProlifHub	ANLN	17	50
ProlifHub	PTTG1	18	50
ProlifHub	CENPF	19	50
ProlifHub	IRAK1	20	50
ProlifHub	RFX5	21	50
ProlifHub	SSR2	22	50
ProlifHub	UBE2T	23	50
ProlifHub	CCNB1	24	50
ProlifHub	GRPEL2	25	50
ProlifHub	TBC1D16	26	50
ProlifHub	FAM189B	27	50
ProlifHub	NEK2	28	50
ProlifHub	PRCC	29	50
ProlifHub	KIF20A	30	50
ProlifHub	GTF2IP4	31	50
ProlifHub	CCNB2	32	50
ProlifHub	MRPS21	33	50
ProlifHub	METTL13	34	50
ProlifHub	ZFP62	35	50
ProlifHub	UBAP2L	36	50
ProlifHub	SNX27	37	50
ProlifHub	LOC101927137	38	50
ProlifHub	HMGN4	39	50
ProlifHub	DNAJC6	40	50
ProlifHub	C1ORF112	41	50
ProlifHub	PIGC	42	50
ProlifHub	FAM83D	43	50
ProlifHub	VPS45	44	50
ProlifHub	MELK	45	50
ProlifHub	CDKN2C	46	50
ProlifHub	KPNA2	47	50
ProlifHub	KIF4A	48	50
ProlifHub	HMMR	49	50
ProlifHub	PBK	50	50
HepLoss	FCN2	1	50
HepLoss	CLEC4M	2	50
HepLoss	LINC01093	3	50
HepLoss	ADAMTS13	4	50
HepLoss	FAM65C	5	50
HepLoss	ANGPTL6	6	50
HepLoss	ADGRG7	7	50
HepLoss	CDHR2	8	50
HepLoss	CLEC1B	9	50
HepLoss	CXCL14	10	50
HepLoss	VIPR1	11	50
HepLoss	PLAC8	12	50
HepLoss	CFP	13	50
HepLoss	CYP1A2	14	50
HepLoss	CRHBP	15	50
HepLoss	HHIP	16	50
HepLoss	STAB2	17	50
HepLoss	FAHD2A	18	50
HepLoss	ECM1	19	50
HepLoss	FCN3	20	50
HepLoss	LCAT	21	50
HepLoss	KDM8	22	50
HepLoss	BDH2	23	50
HepLoss	PITPNM3	24	50
HepLoss	DBH	25	50
HepLoss	OIT3	26	50
HepLoss	BMPER	27	50
HepLoss	HGFAC	28	50
HepLoss	EPHA2	29	50
HepLoss	CCBE1	30	50
HepLoss	MARCO	31	50
HepLoss	BLOC1S1-RDH5	32	50
HepLoss	ZGPAT	33	50
HepLoss	TTC36	34	50
HepLoss	COLEC10	35	50
HepLoss	SRD5A2	36	50
HepLoss	ERLIN1	37	50
HepLoss	GPR182	38	50
HepLoss	PAMR1	39	50
HepLoss	IGFBP3	40	50
HepLoss	TMEM27	41	50
HepLoss	GPM6A	42	50
HepLoss	KAZN	43	50
HepLoss	CETP	44	50
HepLoss	MRO	45	50
HepLoss	GPR146	46	50
HepLoss	NAT2	47	50
HepLoss	NXF3	48	50
HepLoss	GSTZ1	49	50
HepLoss	B3GAT1	50	50
