injury_set	n_input_genes	model	tumor_coefficient	ci_low	ci_high	p_value	set_size	set_label	model_label	significant
HBV_INJURY_TOP_200	200	unadjusted	0.13373224746887358	-0.07563061704412088	0.34309511198186804	0.2081224229108942	200	Top 200	Unadjusted	FALSE
HBV_INJURY_TOP_200	200	proliferation_adjusted	0.17057690439846673	-0.10011799674628212	0.4412718055432156	0.21422571067767712	200	Top 200	E2F/G2M adjusted	FALSE
HBV_INJURY_TOP_200	200	proliferation_cibersortx_pc_adjusted	0.26866071518038914	0.02650368141741665	0.5108177489433616	0.03002441970834355	200	Top 200	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_TOP_200	200	proliferation_selected_fraction_adjusted	0.2383107124329143	0.0106885886295889	0.4659328362362397	0.04036174619768207	200	Top 200	E2F/G2M + selected fractions	TRUE
HBV_INJURY_TOP_500	500	unadjusted	0.1441500274692222	-0.04805516988080521	0.3363552248192496	0.1399927464360129	500	Top 500	Unadjusted	FALSE
HBV_INJURY_TOP_500	500	proliferation_adjusted	0.1379349253605097	-0.10644226309128692	0.38231211381230634	0.26556350077111157	500	Top 500	E2F/G2M adjusted	FALSE
HBV_INJURY_TOP_500	500	proliferation_cibersortx_pc_adjusted	0.22585087829018757	0.00968398463608136	0.4420177719442937	0.04075611369121543	500	Top 500	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_TOP_500	500	proliferation_selected_fraction_adjusted	0.22090500938491536	0.018716464974558	0.4230935537952727	0.03257695253974486	500	Top 500	E2F/G2M + selected fractions	TRUE
HBV_INJURY_TOP_1000	1000	unadjusted	0.19801744600049537	0.02708586746881872	0.368949024532172	0.02360225460467741	1000	Top 1000	Unadjusted	TRUE
HBV_INJURY_TOP_1000	1000	proliferation_adjusted	0.13947640783951545	-0.07510819500971189	0.35406101068874274	0.20025486185055288	1000	Top 1000	E2F/G2M adjusted	FALSE
HBV_INJURY_TOP_1000	1000	proliferation_cibersortx_pc_adjusted	0.2157627478124829	0.02540260376147449	0.40612289186349126	0.02672005420280869	1000	Top 1000	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_TOP_1000	1000	proliferation_selected_fraction_adjusted	0.21101762258638757	0.03391347778549744	0.38812176738727766	0.02004274531417582	1000	Top 1000	E2F/G2M + selected fractions	TRUE
HBV_INJURY_TOP_2000	2000	unadjusted	0.2370427991470107	0.08856157432393533	0.3855240239700861	0.00202655137559117	2000	Top 2000	Unadjusted	TRUE
HBV_INJURY_TOP_2000	2000	proliferation_adjusted	0.13039905294306417	-0.04940392695204493	0.31020203283817327	0.15337244396081426	2000	Top 2000	E2F/G2M adjusted	FALSE
HBV_INJURY_TOP_2000	2000	proliferation_cibersortx_pc_adjusted	0.1901903042101876	0.028056523081781	0.3523240853385943	0.0219611925702157	2000	Top 2000	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_TOP_2000	2000	proliferation_selected_fraction_adjusted	0.18814634652249823	0.03833558168028955	0.3379571113647069	0.0143872336853973	2000	Top 2000	E2F/G2M + selected fractions	TRUE
HBV_INJURY_TOP_5000	5000	unadjusted	0.26350341369647845	0.16136244062519367	0.3656443867677632	1.4196136967776714e-6	5000	Top 5000	Unadjusted	TRUE
HBV_INJURY_TOP_5000	5000	proliferation_adjusted	0.11878994649076556	0.00186215807367019	0.2357177349078609	0.04652629620108139	5000	Top 5000	E2F/G2M adjusted	TRUE
HBV_INJURY_TOP_5000	5000	proliferation_cibersortx_pc_adjusted	0.1531343282135822	0.04420062472065146	0.26206803170651294	0.00632632375454256	5000	Top 5000	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_TOP_5000	5000	proliferation_selected_fraction_adjusted	0.14858335653082952	0.04775116669575588	0.24941554636590316	0.00430249452291203	5000	Top 5000	E2F/G2M + selected fractions	TRUE
HBV_INJURY_EXTENDED_7792	7792	unadjusted	0.23279473628624367	0.15996929673378998	0.3056201758386974	5.922790493723865e-9	7792	Extended 7792	Unadjusted	TRUE
HBV_INJURY_EXTENDED_7792	7792	proliferation_adjusted	0.12498265000843614	0.04060747145037736	0.20935782856649493	0.004079746628983	7792	Extended 7792	E2F/G2M adjusted	TRUE
HBV_INJURY_EXTENDED_7792	7792	proliferation_cibersortx_pc_adjusted	0.14754405367662995	0.06618331242073	0.2289047949325299	4.995459324941132e-4	7792	Extended 7792	E2F/G2M + CIBERSORTx PCs	TRUE
HBV_INJURY_EXTENDED_7792	7792	proliferation_selected_fraction_adjusted	0.13343099370846415	0.05972934104945138	0.20713264636747697	5.182124431552317e-4	7792	Extended 7792	E2F/G2M + selected fractions	TRUE
