sample_id	tissue	cell_fraction	fraction
GSM3428716	tumor	T cells CD4 memory resting	0.0105729105175059
GSM3428716	tumor	Macrophages M2	0.167527298445442
GSM3428716	tumor	Plasma cells	0.045012805119697
GSM3428716	tumor	Macrophages M0	0
GSM3428716	tumor	T cells CD8	0.157347276287749
GSM3428716	tumor	Macrophages M1	0.0916842261894907
GSM3428716	tumor	T cells follicular helper	0.0814228415723606
GSM3428716	tumor	Mast cells activated	0.0861453038832061
GSM3428716	tumor	B cells memory	0
GSM3428716	tumor	NK cells activated	0.0700053733539716
GSM3428717	tumor	T cells CD4 memory resting	0.193259882287408
GSM3428717	tumor	Macrophages M2	0.145666308514389
GSM3428717	tumor	Plasma cells	0.0873486833909783
GSM3428717	tumor	Macrophages M0	0.0834911074788691
GSM3428717	tumor	T cells CD8	0.0916474175054362
GSM3428717	tumor	Macrophages M1	0
GSM3428717	tumor	T cells follicular helper	0.00786612225511296
GSM3428717	tumor	Mast cells activated	0
GSM3428717	tumor	B cells memory	0.100541214142061
GSM3428717	tumor	NK cells activated	0.115606271754744
GSM3428718	tumor	T cells CD4 memory resting	0.104776935044705
GSM3428718	tumor	Macrophages M2	0.173558590788325
GSM3428718	tumor	Plasma cells	0.176150113196316
GSM3428718	tumor	Macrophages M0	0.107968014130286
GSM3428718	tumor	T cells CD8	0.0773218634902724
GSM3428718	tumor	Macrophages M1	0.0630476394040164
GSM3428718	tumor	T cells follicular helper	0.00466979753429552
GSM3428718	tumor	Mast cells activated	0.0704240740546012
GSM3428718	tumor	B cells memory	0.0496139154663456
GSM3428718	tumor	NK cells activated	0.0634231396969397
GSM3428719	tumor	T cells CD4 memory resting	0.249432060323332
GSM3428719	tumor	Macrophages M2	0.253474909034991
GSM3428719	tumor	Plasma cells	0.0718223470561943
GSM3428719	tumor	Macrophages M0	0
GSM3428719	tumor	T cells CD8	0.0243898712141561
GSM3428719	tumor	Macrophages M1	0.0251710663923833
GSM3428719	tumor	T cells follicular helper	0
GSM3428719	tumor	Mast cells activated	0.0821989882707029
GSM3428719	tumor	B cells memory	0.0953704967381061
GSM3428719	tumor	NK cells activated	0.0621739224617068
GSM3428720	tumor	T cells CD4 memory resting	0.369136018603108
GSM3428720	tumor	Macrophages M2	0.0329522095209629
GSM3428720	tumor	Plasma cells	0.0643168086260113
GSM3428720	tumor	Macrophages M0	0.0620131714535598
GSM3428720	tumor	T cells CD8	0.0747750908057163
