term	estimate	std.error	statistic	p.value	variable	score	n
(Intercept)	0.06018252170589183	0.04142342175455997	1.4528621527811574	0.1471816006463186	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage II	0.21349943180135744	0.07160989193232044	2.9814237396579077	0.003075414118031024	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage III	0.13815269229476027	0.3172792550707139	0.435429326332632	0.6635263049648483	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IIIA	0.2972521575382733	0.07926432595832207	3.750137958588978	2.075859923736722e-4	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IIIB	0.4527628838823256	0.1970335873791455	2.2978969723120772	0.022172501733384708	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IIIC	0.39788921855910775	0.18627750395394785	2.136002523726511	0.03339096758620994	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IV	-0.017321195896727908	0.3874806299835046	-0.04470209490849978	0.9643709292266767	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IVA	-0.47273549392985104	0.5464124608342772	-0.8651623595993141	0.3875579127069956	ajcc_pathologic_stage	ProlifHubScore	350
ajcc_pathologic_stageStage IVB	-0.07416829784568345	0.38748062998350374	-0.1914116270762774	0.8483170317524646	ajcc_pathologic_stage	ProlifHubScore	350
(Intercept)	-0.2008179308756083	0.03363197812976789	-5.971041313738932	5.920244581061387e-9	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage II	-0.090315997538728	0.05814059334868258	-1.5534068769660139	0.12125353977495766	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage III	-0.22849202975844757	0.2576013403912641	-0.8869986057191972	0.37570479605142937	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IIIA	-0.04361226008873567	0.06435528414085256	-0.6776795514301944	0.49843442962129225	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IIIB	-0.0629810423237066	0.15997300611303697	-0.3936979360080549	0.6940501199780249	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IIIC	-0.1556367655186875	0.1512400635603522	-1.0290710136906336	0.3041756694083688	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IV	-0.35470435879872453	0.31459834850266444	-1.1274832194350202	0.2603309407260091	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IVA	0.11374653852585223	0.4436362607004598	0.25639594551233746	0.7977997308491465	ajcc_pathologic_stage	HepLossScore	350
ajcc_pathologic_stageStage IVB	-0.082648390199786	0.31459834850266377	-0.26271082029881093	0.7929321237415724	ajcc_pathologic_stage	HepLossScore	350
(Intercept)	0.26100045258149995	0.059622874206278154	4.377522151624438	1.5983653716954198e-5	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage II	0.30381542934008576	0.10307182260084319	2.947608974730601	0.0034230836450383595	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage III	0.36664472205320764	0.4566764480594939	0.802854457704468	0.42261807751171243	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IIIA	0.340864417627009	0.11408924553989122	2.9876998135448796	0.0030145607235584223	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IIIB	0.515743926206032	0.28360063696151067	1.8185570093625252	0.06985615107683907	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IIIC	0.5535259840777949	0.26811884956083093	2.064479931136698	0.039728025469637496	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IV	0.33738316290199794	0.5577209192365359	0.6049318776922367	0.5456265910826978	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IVA	-0.5864820324557027	0.7864797266169513	-0.74570521350685	0.4563592209393119	ajcc_pathologic_stage	HCCStateScore	350
ajcc_pathologic_stageStage IVB	0.008480092354102372	0.5577209192365347	0.01520490277773835	0.987877602268764	ajcc_pathologic_stage	HCCStateScore	350
(Intercept)	-0.10405075325139602	0.07155105203506194	-1.4542169582692976	0.14674550372392212	tumor_grade	ProlifHubScore	369
tumor_gradeG2	0.21534678299265897	0.08186230766280235	2.6305975135674196	0.008884530163522933	tumor_grade	ProlifHubScore	369
tumor_gradeG3	0.5178476773605148	0.0859669851985118	6.023797114261016	4.1613444966388035e-9	tumor_grade	ProlifHubScore	369
tumor_gradeG4	0.4422754140492201	0.16906853989105447	2.615953354386431	0.009267240825068012	tumor_grade	ProlifHubScore	369
(Intercept)	-0.04797375227829404	0.05852887129964485	-0.8196596177754268	0.4129450757871318	tumor_grade	HepLossScore	369
tumor_gradeG2	-0.15410544835452758	0.06696349436120407	-2.3013352248805288	0.02193543839200367	tumor_grade	HepLossScore	369
tumor_gradeG3	-0.3024299079094845	0.07032112693795999	-4.300697686149141	2.1882331974774383e-5	tumor_grade	HepLossScore	369
tumor_gradeG4	-0.3207176397060991	0.1382983272873946	-2.3190276122401907	0.02094508423160044	tumor_grade	HepLossScore	369
(Intercept)	-0.05607700097310174	0.10197466911066135	-0.5499110853916852	0.5827166904995618	tumor_grade	HCCStateScore	369
tumor_gradeG2	0.36945223134718663	0.11667028644748283	3.166635161331239	0.001671943014142903	tumor_grade	HCCStateScore	369
tumor_gradeG3	0.8202775852699999	0.12252027916743367	6.695035228813229	8.154709049493604e-11	tumor_grade	HCCStateScore	369
tumor_gradeG4	0.7629930537553192	0.24095674238255108	3.166514645786361	0.0016726172225230108	tumor_grade	HCCStateScore	369
(Intercept)	0.23980393857725793	0.0506790965493132	4.7318116325123745	3.166310734043264e-6	gender	ProlifHubScore	374
gendermale	-0.07418566914614722	0.06161754695026145	-1.2039698562818628	0.22936675426966158	gender	ProlifHubScore	374
(Intercept)	-0.20646045095615406	0.040291459298907	-5.124174069360521	4.811287924800239e-7	gender	HepLossScore	374
gendermale	-0.041829673848779975	0.0489878678604541	-0.8538782289512004	0.39372196925237546	gender	HepLossScore	374
(Intercept)	0.44626438953341235	0.07321957992689897	6.094877763283458	2.739865297095272e-9	gender	HCCStateScore	374
gendermale	-0.032355995297367504	0.08902311230892018	-0.36345612345127376	0.7164706388122684	gender	HCCStateScore	374
(Intercept)	0.5074335752858107	0.13051552395419744	3.8879173903013045	1.1977712689189547e-4	age_at_index	ProlifHubScore	373
age_at_index	-0.005360343227328291	0.002142276085482985	-2.5021719953148707	0.01277305782227119	age_at_index	ProlifHubScore	373
(Intercept)	-0.19510124088852954	0.10453880966924212	-1.8663044041330146	0.06278756219294813	age_at_index	HepLossScore	373
age_at_index	-6.615700397991901e-4	0.0017158954366062022	-0.38555381970575187	0.700048110800198	age_at_index	HepLossScore	373
(Intercept)	0.7025348161743393	0.18923055654737544	3.7125865346089277	2.366312883689494e-4	age_at_index	HCCStateScore	373
age_at_index	-0.00469877318752909	0.0031060220550954685	-1.5127945340313	0.1311832174958355	age_at_index	HCCStateScore	373
