gene	raw_value	sample_id	library_size	value_type
ADAMTS13	25	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ADGRG7	84	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ANGPTL6	20	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ANLN	51	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ASPM	137	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
BUB1B	14	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CAP2	463	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CDHR2	5	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CDKN3	148	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CENPF	137	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CENPW	68	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CFP	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CLEC1B	10	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CLEC4M	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
COL15A1	418	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CRHBP	13	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CXCL14	11	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
CYP1A2	3	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ECM1	147	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ECT2	36	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
FAHD2A	644	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
FCN2	1	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
FCN3	113	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
GJC1	72	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
HHIP	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
IRAK1	3657	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ITGA6	641	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
LINC01093	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
NUSAP1	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
PLAC8	89	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
PLVAP	2106	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
PRC1	0	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
PTTG1	326	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
RACGAP1	104	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
STAB2	7	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
TOP2A	166	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
TTC13	471	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
UBE2Q1	2953	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
VIPR1	7	TCGA-DD-AACI-01A-11R-A41C-07	23692068	counts
ADAMTS13	830	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ADGRG7	499	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ANGPTL6	180	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ANLN	58	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ASPM	109	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
BUB1B	22	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CAP2	346	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CDHR2	1995	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CDKN3	20	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CENPF	61	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CENPW	40	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CFP	57	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CLEC1B	299	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CLEC4M	77	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
COL15A1	274	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CRHBP	4338	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CXCL14	918	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
CYP1A2	23603	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ECM1	1256	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ECT2	107	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
FAHD2A	1393	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
FCN2	322	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
FCN3	3615	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
GJC1	171	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
HHIP	499	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
IRAK1	1723	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ITGA6	1172	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
LINC01093	1979	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
NUSAP1	3	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
PLAC8	177	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
PLVAP	541	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
PRC1	3	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
PTTG1	35	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
RACGAP1	110	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
STAB2	301	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
TOP2A	122	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
TTC13	251	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
UBE2Q1	1468	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
VIPR1	1208	TCGA-UB-AA0V-01A-11R-A38B-07	35210560	counts
ADAMTS13	137	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ADGRG7	104	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ANGPTL6	97	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ANLN	559	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ASPM	1131	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
BUB1B	191	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CAP2	6254	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CDHR2	5	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CDKN3	374	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CENPF	919	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CENPW	112	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CFP	29	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CLEC1B	1	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CLEC4M	0	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
COL15A1	934	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CRHBP	30	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CXCL14	4	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
CYP1A2	3909	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ECM1	271	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ECT2	388	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
FAHD2A	1001	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
FCN2	5	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
FCN3	151	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
GJC1	156	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
HHIP	2	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
IRAK1	6512	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ITGA6	3274	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
LINC01093	55	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
NUSAP1	11	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
PLAC8	52	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
PLVAP	2632	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
PRC1	3	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
PTTG1	549	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
RACGAP1	1025	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
STAB2	9	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
TOP2A	1892	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
TTC13	519	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
UBE2Q1	4853	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
VIPR1	32	TCGA-G3-AAV3-01A-11R-A37K-07	48823058	counts
ADAMTS13	137	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ADGRG7	50	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ANGPTL6	65	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ANLN	768	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ASPM	1377	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
BUB1B	316	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CAP2	1395	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CDHR2	2977	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CDKN3	610	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CENPF	1890	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CENPW	323	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CFP	16	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CLEC1B	1	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CLEC4M	0	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
COL15A1	1065	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CRHBP	35	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CXCL14	26	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CYP1A2	1477	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ECM1	222	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ECT2	622	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FAHD2A	1689	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FCN2	12	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FCN3	155	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
GJC1	150	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
HHIP	0	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
IRAK1	15628	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ITGA6	6153	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
LINC01093	24	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
NUSAP1	6	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PLAC8	77	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PLVAP	6575	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PRC1	9	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PTTG1	1302	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
RACGAP1	903	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
STAB2	7	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
TOP2A	1764	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
TTC13	677	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
UBE2Q1	3665	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
VIPR1	46	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ADAMTS13	363	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ADGRG7	398	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ANGPTL6	158	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ANLN	270	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ASPM	802	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
BUB1B	237	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
