sample_id	ProlifHubScore	HepLossScore	HCCStateScore	patient	tissue	sample_type_text	file_path
TCGA-DD-AACI-01A-11R-A41C-07	-0.2949730306279252	-0.5650082140755661	0.27003518344764094	TCGA-DD-AACI	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/b2646119-db5e-4591-827d-ad38195b822e/3664c072-bf3f-42ac-9927-89b15993c72e.rna_seq.augmented_star_gene_counts.tsv
TCGA-UB-AA0V-01A-11R-A38B-07	-0.8893613428155795	1.6242954003909904	-2.51365674320657	TCGA-UB-AA0V	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/417b01fc-a6ad-4cff-b36d-99a6e4f349a1/5e8476a1-5aa4-48d6-b4a8-d76e52a18d43.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-AAV3-01A-11R-A37K-07	0.28989852859350074	-0.43227686883161487	0.7221753974251156	TCGA-G3-AAV3	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/00fb4b52-e6a4-4ad9-bbed-584e25851aca/ba056a7d-5370-4fe9-af1e-2e3de42e205f.rna_seq.augmented_star_gene_counts.tsv
TCGA-EP-A3RK-01A-11R-A22L-07	0.555864982528978	-0.3248447862363898	0.8807097687653678	TCGA-EP-A3RK	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/2a986418-6f8a-4c4c-93a1-5e1abf69057b/5d220ed4-22c2-4ff1-b597-3822204d57e7.rna_seq.augmented_star_gene_counts.tsv
TCGA-2Y-A9H9-01A-21R-A39D-07	0.08789557602995357	-0.36196100081171484	0.4498565768416684	TCGA-2Y-A9H9	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/0cb37227-b328-4083-8c3c-fb8a850fc5bf/fda7f242-9bc2-477e-8603-8495d2e9f225.rna_seq.augmented_star_gene_counts.tsv
TCGA-MI-A75H-01A-11R-A32O-07	-0.11396585354771999	-0.3211994231761773	0.2072335696284573	TCGA-MI-A75H	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/bb642fb4-07dd-44b3-b5b5-3f3d6976d677/ac4ec2c7-9dcb-4863-9e27-00dabfa7c747.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A8YO-01A-11R-A37K-07	1.118000743620398	-0.3147792104910511	1.4327799541114492	TCGA-BC-A8YO	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/4a39b419-4c93-4c65-bdc3-075c1c067a41/69044cff-0eaa-4acc-a163-4b9ab15a7595.rna_seq.augmented_star_gene_counts.tsv
TCGA-GJ-A3OU-01A-31R-A38B-07	0.5937187282841986	-0.04589658917761525	0.6396153174618139	TCGA-GJ-A3OU	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/5460eb0c-4844-4c74-95c7-519184822a5a/55bda25f-fb6d-461e-a4c7-4e834eafeca4.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-AAV1-01A-11R-A38B-07	0.17568510166653795	-0.462042924234876	0.637728025901414	TCGA-G3-AAV1	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/2157c1f3-890e-4f10-a48d-dbe80e021ecc/b2dfe637-d3a5-4400-88db-5d60f0a167d5.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AAEB-01A-11R-A41C-07	-0.7239762140428023	-0.3877034072556648	-0.3362728067871375	TCGA-DD-AAEB	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/5a1259f8-620d-42be-900f-65aacb6a6b43/2de83d09-9782-42f1-9434-8df1f3bab7fd.rna_seq.augmented_star_gene_counts.tsv
TCGA-EP-A3RK-11A-11R-A22L-07	-1.414484302146929	1.6196437265906733	-3.0341280287376025	TCGA-EP-A3RK	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/0444bb3d-0844-4333-97b0-e71faca95abb/28e28451-9c55-4f01-9ac1-fda75a6f828d.rna_seq.augmented_star_gene_counts.tsv
TCGA-RC-A7S9-01A-11R-A33R-07	0.3766351141033142	-0.446523715015695	0.8231588291190092	TCGA-RC-A7S9	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/ec255ed5-156b-4e5b-bbb7-d7841395fefe/79b50c00-e9f0-4be7-9cc4-b798a9f75702.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-A25V-01A-11R-A16W-07	-0.42730754166386375	0.5633797120634175	-0.9906872537272813	TCGA-G3-A25V	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/2fa3c211-314a-4a2d-a15a-02335262bbc4/1f6baf69-b0e9-44e7-bb0a-0818adda7b09.rna_seq.augmented_star_gene_counts.tsv
TCGA-CC-A9FS-01A-11R-A37K-07	0.10788398189572938	0.19132682942703777	-0.08344284753130839	TCGA-CC-A9FS	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/9a764e34-3125-4e05-876a-0b7ca4ce4e62/c1224885-8e33-45f5-a9ee-431c9b79fb9e.rna_seq.augmented_star_gene_counts.tsv
TCGA-UB-A7MC-01A-11R-A33R-07	0.9143233166074214	-0.4514543448936429	1.3657776615010642	TCGA-UB-A7MC	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/c585dac6-771a-4663-a7d6-5c7d7ccae32a/7c1d65f0-c157-4502-a8ed-c88578d4eade.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-AAV7-01A-11R-A38B-07	1.776782128931794	-0.7088075335279039	2.485589662459698	TCGA-G3-AAV7	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/08b01615-a73a-4dcb-98ec-c110b34867c3/b9dea4f2-2847-496f-a08e-5253c9ea6743.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A10Y-01A-11R-A131-07	0.6806844660644846	-0.13856820176391307	0.8192526678283977	TCGA-BC-A10Y	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/d4426c56-9349-4770-b13c-17a2173015a0/96038519-51a9-4188-bc3c-5e5a4d219a77.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AACB-01A-11R-A41C-07	0.10557353231990856	-0.49027938491898226	0.5958529172388908	TCGA-DD-AACB	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/5a9a239f-82d6-4875-970e-bc57558691b4/1d974cac-fb5e-4737-a6b0-d22d398fea59.rna_seq.augmented_star_gene_counts.tsv
TCGA-CC-5259-01A-31R-A213-07	-0.453113202130323	-0.9760140862248875	0.5229008840945645	TCGA-CC-5259	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/ad30a245-b70d-44de-b3bf-b4dc4cbc2d18/bf31551a-22a7-4840-b734-748efb6301c4.rna_seq.augmented_star_gene_counts.tsv
TCGA-CC-5258-01A-01R-A131-07	0.5854478484675338	-0.38010351043976087	0.9655513589072947	TCGA-CC-5258	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1e65110a-b37b-42e6-8f99-b96116fdac71/1dc8062e-ec15-4146-a586-112cf061e620.rna_seq.augmented_star_gene_counts.tsv
